,,Local Server Testing using CakePHP,,,,,,,
,,,,,,,,,
sampler_label,count,average,min,max,stddev,error%,Througput,Kb/sec,average_bytes
TOTAL 100 users,1700,14923,165,189042,24745.63773,0,4.04262352,39.4123142,9983.172941
TOTAL 200 users,3400,43512,668,1095180,114252.5625,0,2.665861681,37.43728686,14380.25912
TOTAL 300 users,5100,67517,993,2022822,223807.1664,0.116666667,2.230500831,32.27341096,14816.39118
TOTAL 400 users,6800,39343,250,1596801,146436.8079,0.3375,2.567450318,29.4005715,11726.10235
TOTAL 500 users,8500,32954,360,1714998,132680.6773,0.47,4.147610025,43.0867091,10637.64188
TOTAL 600 users,10200,27469,204,1644960,124155.3111,0.545,5.104956913,44.27226914,8880.545784
TOTAL 700 users,11900,27078,260,1810888,132913.4292,0.62,5.568332565,35.8633532,6595.165294
TOTAL 800 users,13600,28484,207,1717727,144175.6129,0.621838235,5.645081287,41.8956049,7599.731029
TOTAL 900 users,15300,44274,197,5073383,342217.4229,0.651176471,2.855699809,23.31991801,8362.082026
TOTAL 1000 users,17000,21578,408,1542987,119387.7356,0.642117647,7.395175561,59.80684299,8281.373
TOTAL 1100 users,17578,29629,359,2195984,171727.5931,0.688815565,5.671879603,37.02799524,6685.026795
,,,,,,,,,
,,Local Server Testing using Codeigniter,,,,,,,
,,,,,,,,,
sampler_label,count,average,min,max,stddev,error%,Througput,Kb/sec,average_bytes
TOTAL 100 users,1700,11485,190,179817,21690.85056,0,5.736189281,63.00851015,11248.01
TOTAL 200 users,3400,18995,76,500559,51423.28755,0,5.560589161,107.3651783,19771.63559
TOTAL 300 users,5100,30839,74,1032019,100857.1046,0.106666667,4.343393826,101.0720593,23828.78294
TOTAL 400 users,6800,23942,83,1008665,95808.14417,0.3325,5.61440127,271.1090796,49447.07088
TOTAL 500 users,8500,18845,74,868070,77704.92249,0.374,7.682254715,146.5027377,19527.96529
TOTAL 600 users,10200,22316,77,1001281,97725.25955,0.457745098,7.33707908,124.5754395,17386.38069
TOTAL 700 users,11900,16929,77,1025531,79440.50877,0.444285714,8.484479463,176.0502842,21247.6784
TOTAL 800 users,13600,20382,74,1129519,100530.0147,0.578823529,8.34622088,118.690159,14562.12632
TOTAL 900 users,15300,18046,252,1116012,95897.71657,0.642418301,9.777688593,116.4707834,12197.77876
TOTAL 1000 users,17000,16412,178,913131,84523.62979,0.632705882,10.83830461,146.622498,13852.85276
TOTAL 1100 users,16915,20145,226,1151759,104814.9339,0.638250074,9.097206461,119.8855304,13494.55832
