,,Live Server testing on CakePHP,,,,,,,
,,,,,,,,,
sampler_label,count,average,min,max,stddev,error%,Througput,Kb/sec,average_bytes
TOTAL 100 users,2000,977,517,6194,552.5575956,0,16.67444808,128.1273628,7868.4715
TOTAL 200 users,4000,1398,107,13021,1202.397075,7.50E-04,16.23343682,190.2619473,12001.66275
TOTAL 300 users,6000,1526,261,13868,1324.461364,5.00E-04,17.47162317,279.7790821,16397.6625
TOTAL 400 users,8000,2059,126,37750,2484.959245,6.25E-04,16.26998412,329.6916811,20750.12975
TOTAL 500 users,10000,3349,46,37901,4100.19978,0.2017,16.67781301,285.2535856,17514.2671
TOTAL 600 users,11953,5967,38,225651,9600.414003,0.061072534,13.44595856,297.2066353,22634.28026
,,,,,,,,,
,,,,,,,,,
,,,Live server testing Codeigniter,,,,,,
,,,,,,,,,
sampler_label,count,average,min,max,stddev,error%,Througput,Kb/sec,average_bytes
TOTAL 100 users,1900,888,447,10210,710.3562586,0,14.95780325,208.4039529,14267.17842
TOTAL 200 users,3800,1680,193,18677,1976.8175,5.26E-04,15.03200234,714.7722754,48691.23842
TOTAL 300 users,5700,1354,448,18672,1536.718786,0,16.88808827,615.2268204,37303.94193
TOTAL 400 users,7600,2935,64,106242,5888.402187,0.005131579,14.64549237,695.473786,48626.91803
TOTAL 500 users,9500,4830,23,250953,8004.324996,0.003473684,13.93474725,833.7261711,61266.67274
TOTAL 600 users,11229,22486,34,3782040,127650.5144,0.024935435,2.922953659,195.6544309,68543.72687
